title,objectid,display_template,image_small,creator,subject,isbn_id,Language,publisher,location,year_published,Edition,tags,bobcat_permalink,worldcat_permalink
Los Andes Ecuatorianos,art001,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/qiQ1wEwyknxE22TdStZw0A/VqlY7O1W5V431iR4DHAyDzi9_zky53jR32QzpY0KU8rWGK05cOBLhGU0I_yBuKeUJXfKoIEmpykF5YknXYjqkg/0yKEbaHij8xqc2GeMphJivMGBDWAhPWzQFXYqXCWvkE,"Albán, Verónica",Art + Photography Books,,"spa,eng",Macalban Editores; Talleres de CROMOS,Ecuador,1976,1,"Photography,History -- Bolivia",,https://worldcat.org/en/title/4644575
Pawqarkuna,art002,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/xA_eSlN0-hAAm1B7qBFZ2g/f0DkKJgRQN9aR83U36z6zQcH5Fz4ojXkMNnuA-EEP6Xq3VL2M4BjKpB6ufzeoE3JipWzpplRp1bMhwcYoscsHA/YYiYHfg5xFT57cxc08Z_oN2_cAAvDpdWas6aZzYk5AI,"Arones, Darinka",Art + Photography Books,,que,,United States,2023,1,Photography,,
"Ana De Orbegoso, Memoria [en] femenino",art003,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/oQLPVZMH6g0JOJ0B6AGkjw/23B50Uo4x6rrXdwDzZ02dfpurbxO3Ou5HvaL8j_pyyTBt7nIxpvSrFafVRWPaivvjCg4ELNyD6tLajKUNsuzvg/3AS-Ss4EzsnhwHAmwnjHABPyp0QzpZXFcraUe7RLcm8,"Del Valle Cárdenas, Augusto",Art + Photography Books,978-612-5062-10-9,spa,Instituto Cultural Peruano Norteamericano,Peru,2022,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph009423584,https://worldcat.org/en/title/1371685651
Warisata en Imágenes: El derecho a la educación desde la experiencia de la Escuela Ayllu ,art004,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/y-WUqCwFOXWtE0uOHTMDQQ/BarbYxFhGVgVXsolT47noDWH8odcqAt3V2lcjPpDL61x6R6oZhasjqufZE0Ybd90Gk22w0lJyWrSa4Pho63R7w/rqVmkkQTSimGYR6-Yht_K0MvPr3yGPr3GsX49zBxEzI,"Resino, Ana Carretero",Art + Photography Books,,"spa,eng",Campaña Boliviana por el Derecho a la Educación ,Bolivia,2017,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph002114278,https://worldcat.org/en/title/28513802
"Carrying Coca: 1,500 Years of Andean Chuspas",art005,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/-WJ8BBtQY2twoaECgaZMCw/_NP5IP6k6Ga4gJgpzo4Vr3IMY24pt62MybXjIkkNycsjczjjB1HUh4Xd7Kzr6q_zTZP59cIo4mXFGT32vHPtEQ/plc5AGX2n9n1N8ALqU6R9Cv4x-EguRPCgvFUnsZROsw,"Sharratt, Nicola ",Art + Photography Books,9780300200720,eng,Bard Graduate Center,United States,2014,1,Photography,https://bobcat.library.nyu.edu/permalink/f/ci13eu/nyu_aleph003992569,https://worldcat.org/en/title/862098422
Ollanta: Mito e Historia,runa001,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/S36iVAXnYPJXbdPuVqlsrw/nW6i0_BnMBkgW2Ze1n7wYptMfwwHTWuEEOsaAtvFCBFSHdTHczua_NBXkJva4V1wqOjuFOZPXcWU4_6rhkzQgQ/1yurIjOra8SxAr5Wfw-Qq_YsUmErca5hIYwRrOBXQNA,,Willaykuna Runasimipi (Books in Quechua),,"spa,que",Municipilidad Distrital de Ollantaytambo,Peru,,,Historical Play,,
"Adivinanzas, Trabalenguas y Cuentos en Quechua",runa002,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/yIktEyLpZXZAb1ABbzbn5g/fIR5Pi-OWPetV8_iWdvsJUt66BnFH2NtPqgytPtgXsOkACjjrFaJWGb6tJUEOEmeCJpt-yM-hbgImmLp2Hk7lQ/XrkOy_7yWnQSs9K6Jz87slXMJBErBy83Oo7YjxXVrQM,"Alvarado Bonifacio, Aquilano ",Willaykuna Runasimipi (Books in Quechua),5-1-1152-07,"spa,que",Latinas Editores Ltda,Bolivia,2015,3,"Riddles,tongue twisters",,
"Literatura Quechua: Cuentos andinos, poesias, canciones, dichos, refranes, adivinanzas ",runa003,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/ZebsfofMM-OSfGYnONQVdw/zYzLowCqlspOzyd9lUvnahIuSgz_ADR4EOxNj9hbZbRmViXpB_4MgtjzWRyV91RWu85WgrFXdJk0VmKOHMNyrg/xaekd3VQvNSGAvrR-c5M53YYfBFw7OrD8RXN5ZbkvdE,"Bacarreza, Donato Gómez",Willaykuna Runasimipi (Books in Quechua),DL: 7-88-98,que,Academia Boliviana de Lenguas Nativas,Bolivia,2013,3,"Stories,Poetry",,https://worldcat.org/en/title/761318176
Phuyup yawar waqaynin,runa004,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/DB7ae9J8xXwaGnIiVqL45Q/Zh3tnanCgmI11Kbhqmmd_fCZBkLJRrkS5WSmCCEfaOq16W_JNf-D28SMisdulJr-j_aqimGxkg0Zllp4QiVxuw/Zyul3flIRyzAyiytvQk0fH91t7Odpv2QQoKmp-eCbbo,"Camacho Rios, Gladys",Willaykuna Runasimipi (Books in Quechua),,que,"Talleres Gráficos ""Kipus"" ",Bolivia,2013,1,History -- Bolivia,,https://worldcat.org/en/title/1124682694
"See Sandy: A Kid's Story in English, Spanish, and Quechua",runa005,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/K_PQXFZUEZWHQ2p57IuuJQ/YnAPcebCapse85rr2aQIlnCrEMeCsOkn2KukD8kbd3cebECg6cyfqYMOoevweLb7c2v9luIF8DxHAYpHgKtUcw/Kflyh6FFFYDWFE0E5u8yYs1_jKaVkXTGYlUfQPWCQ7k,"Enriquez, Sandy",Willaykuna Runasimipi (Books in Quechua),,"eng,spa,que",Quwicha Press,United States,2018,1,Children's book,,
Mushuc Quellca Huañuyta Yachashpa Huillarca,runa006,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/XbTm-msZTYMyqNaH0BZnOg/Uss6NU_1TDx6jzoPOOazKX-NQwK0zINdmkv2hcFkqwoTy9xFEEziQn33H0Ys_jsgYeekzepJkQWXbX_g_6Zcog/wcEtO1ZG2FpkDSu44BkusYAFENGeorVaw6q4Uo7sARI,"Garcia Marquez, Gabriel",Willaykuna Runasimipi (Books in Quechua),,que,Editorial Oveja Negra,Colombia,1981,1,Fiction,,https://worldcat.org/en/title/11921196
"Kawsayninchista willanakusunchis : Patacanchaq willanakuynin, takinkuna ima ",runa007,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/IJ31dbtQA2blyqDNdau0Yw/HRlkoZRbmnng8cPyk9oqgszPdD1mL7U3lM9zxr6GFE2icgGOzdItANQAqJCqgBSzBnKer00y6zUN3nSfa2LiLg/QAWcJ9MH27ZNTmHXvYsKL29W8gQhUdjfYZKHCB3_1HQ,"Medina Quiñones, Amanda",Willaykuna Runasimipi (Books in Quechua),978-9972-691-92-8,que,Centro de Estudios Regionales Andinos Bartolomé de Las Casas,Peru,2009,1,Stories,,https://worldcat.org/en/title/635537963
Ollantay: Cantos y Narraciones Quechuas,runa008,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/FZi_LMw0QZ2zRPavwViaxA/usknTUOOGegg0cHkA34YxrB7VcDW-REQH64oaF0iK-QUqa_-SZ0GIcvZJzSowHEiEI0MtviFBfbmlqG4lYvf-w/eW2iK2iq55XufbzW04E1hcL9Fp15DbNTOba9ydv8mgQ,"Miró, César; Bondy, Sebastián Salazar ",Willaykuna Runasimipi (Books in Quechua),15-10985-G,"que,spa",PEISA,Peru,1995,1,"Songs,Stories",,https://worldcat.org/en/title/18108749
"Qoricha: Charanguerucha, Huk Kumpachata Tarin",runa009,image,https://v5.airtableusercontent.com/v1/18/18/1687888800000/_otVFUZQR8_XAYfGihlJnA/eZYmtrp2qeD6IBfUpLrKcZNMbP7KRGfU0EmQ4nzna_Mt2LKOx6ldrUHM-7mnaCHsMifflNdT4Ag3WjEX8B5BLQ/2yQKf_g11TjDAXKgy3GYso2fibfLeCu4IWahy6Za54I,"Rebatta, Elva Ambía",Willaykuna Runasimipi (Books in Quechua),,"eng,spa,que",New York Quechua Initiative,United States,2016,1,Children's book,,
